,participant_country,participant_country_id,participant_maddison_code,participant_region,participant_deaths,conflict_name,conflict_start_year,conflict_end_year,COW_id,UCDP_id,state_conflict_type,year,year_deaths_share,year_deaths
737,Algeria,615.0,DZA,Africa,236238.0,Franco-Algerian of 1954,1954,1962,432,,Extrasystemic,1959,0.15353574631188846,36270.97763722791
738,Indonesia,850.0,IDN,Asia,33444.0,Indonesia vs. Leftists,1956,1960,649,,Internal,1959,0.200245185982538,6697.000000000001
739,Iraq,645.0,IRQ,Middle East,2000.0,Iraq vs. Shammar Tribe & Pro-Western Officers,1959,1959,653,,Internal,1959,1.0,2000.0
740,Cameroon,471.0,CMR,Africa,3853.0,Cameroon,1955,1960,433,,Extrasystemic,1960,0.1667447306791569,642.4674473067915
741,France,220.0,FRA,Europe,417.0,Cameroon,1955,1960,433,,Extrasystemic,1960,0.1667447306791569,69.53255269320843
742,Colombia,100.0,COL,Americas,134820.0,Colombia vs. Liberals of 1949,1949,1962,640,,Internal,1960,0.024996291351431537,3370.0
743,France,220.0,FRA,Europe,15788.0,Franco-Algerian of 1954,1954,1962,432,,Extrasystemic,1960,0.15353574631188846,2424.022362772095
744,Algeria,615.0,DZA,Africa,236238.0,Franco-Algerian of 1954,1954,1962,432,,Extrasystemic,1960,0.15353574631188846,36270.97763722791
745,Indonesia,850.0,IDN,Asia,33444.0,Indonesia vs. Leftists,1956,1960,649,,Internal,1960,0.200245185982538,6697.000000000001
746,Laos,812.0,LAO,Asia,5000.0,Laos vs. Pathet Lao of  1960,1960,1962,657,,Internal,1960,0.3332,1666.0
747,Vietnam (South),817.0,RVN,Asia,164391.0,Republic of Vietnam vs. NLF,1960,1965,654,,Internal,1960,0.06374066654525587,10478.391914041158
748,Belgium,211.0,BEL,Europe,50.0,Zaire vs. Katanga & Leftists,1960,1964,655,,Internal,1960,0.0,0.0
749,DR Congo (Zaire),490.0,COD,Africa,33911.0,Zaire vs. Katanga & Leftists,1960,1965,655,,Internal,1960,0.0,0.0
750,Portugal,235.0,PRT,Europe,4000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1961,0.06665822784810127,266.6329113924051
751,Angola,540.0,AGO,Africa,75000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1961,0.06665822784810127,4999.367088607595
752,Colombia,100.0,COL,Americas,134820.0,Colombia vs. Liberals of 1949,1949,1962,640,,Internal,1961,0.025003708648568462,3371.0
753,France,220.0,FRA,Europe,15788.0,Franco-Algerian of 1954,1954,1962,432,,Extrasystemic,1961,0.1582217707696825,2498.0053169117473
754,Algeria,615.0,DZA,Africa,236238.0,Franco-Algerian of 1954,1954,1962,432,,Extrasystemic,1961,0.1582217707696825,37377.994683088255
755,Iraq,645.0,IRQ,Middle East,33000.0,Iraq vs. Kurds of 1961,1961,1963,658,,Internal,1961,0.3333333333333333,11000.0
756,Laos,812.0,LAO,Asia,5000.0,Laos vs. Pathet Lao of  1960,1960,1962,657,,Internal,1961,0.3334,1666.9999999999998
757,Vietnam (South),817.0,RVN,Asia,164391.0,Republic of Vietnam vs. NLF,1960,1965,654,,Internal,1961,0.12748133309051174,20956.783828082316
758,United States of America,2.0,USA,Americas,339.0,Republic of Vietnam vs. NLF,1961,1965,654,,Internal,1961,0.13616028010114764,46.15833495428905
759,Belgium,211.0,BEL,Europe,50.0,Zaire vs. Katanga & Leftists,1960,1964,655,,Internal,1961,0.0,0.0
760,DR Congo (Zaire),490.0,COD,Africa,33911.0,Zaire vs. Katanga & Leftists,1960,1965,655,,Internal,1961,0.0,0.0
761,Algeria,615.0,DZA,Africa,150000.0,Algeria vs. Former Rebel Leaders,1962,1963,659,,Internal,1962,0.5,75000.0
762,Portugal,235.0,PRT,Europe,4000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1962,0.06665822784810127,266.6329113924051
763,Angola,540.0,AGO,Africa,75000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1962,0.06665822784810127,4999.367088607595
764,China,710.0,CHN,Asia,722.0,Assam,1962,1962,160,,Interstate,1962,1.0,722.0
765,India,750.0,IND,Asia,1383.0,Assam,1962,1962,160,,Interstate,1962,1.0,1383.0
766,Colombia,100.0,COL,Americas,134820.0,Colombia vs. Liberals of 1949,1949,1962,640,,Internal,1962,0.025003708648568462,3371.0
767,France,220.0,FRA,Europe,15788.0,Franco-Algerian of 1954,1954,1962,432,,Extrasystemic,1962,0.008253116741923453,130.30020712148746
768,Algeria,615.0,DZA,Africa,236238.0,Franco-Algerian of 1954,1954,1962,432,,Extrasystemic,1962,0.008253116741923453,1949.6997928785127
769,Portugal,235.0,PRT,Europe,1000.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1962,0.07686932215234102,76.86932215234101
770,Guinea,438.0,GIN,Africa,6155.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1962,0.07686932215234102,473.13067784765894
771,Iraq,645.0,IRQ,Middle East,33000.0,Iraq vs. Kurds of 1961,1961,1963,658,,Internal,1962,0.3333333333333333,11000.0
772,Laos,812.0,LAO,Asia,5000.0,Laos vs. Pathet Lao of  1960,1960,1962,657,,Internal,1962,0.3334,1666.9999999999998
773,Vietnam (South),817.0,RVN,Asia,164391.0,Republic of Vietnam vs. NLF,1960,1965,654,,Internal,1962,0.2276452376616281,37422.828264432705
774,United States of America,2.0,USA,Americas,339.0,Republic of Vietnam vs. NLF,1961,1965,654,,Internal,1962,0.24314335732347792,82.42559813265902
775,Yemen (North),678.0,YAR,Middle East,49000.0,Yemen Arab Republic vs. Royalists,1962,1969,660,,Internal,1962,0.15384,7538.16
776,Egypt,651.0,EGY,Africa,1000.0,Yemen Arab Republic vs. Royalists,1962,1967,660,,Internal,1962,0.18181818181818182,181.8181818181818
777,Belgium,211.0,BEL,Europe,50.0,Zaire vs. Katanga & Leftists,1960,1964,655,,Internal,1962,0.0,0.0
778,DR Congo (Zaire),490.0,COD,Africa,33911.0,Zaire vs. Katanga & Leftists,1960,1965,655,,Internal,1962,0.0,0.0
779,Algeria,615.0,DZA,Africa,150000.0,Algeria vs. Former Rebel Leaders,1962,1963,659,,Internal,1963,0.5,75000.0
780,Portugal,235.0,PRT,Europe,4000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1963,0.06665822784810127,266.6329113924051
781,Angola,540.0,AGO,Africa,75000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1963,0.06665822784810127,4999.367088607595
782,Portugal,235.0,PRT,Europe,1000.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1963,0.07686932215234102,76.86932215234101
783,Guinea,438.0,GIN,Africa,6155.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1963,0.07686932215234102,473.13067784765894
784,Iraq,645.0,IRQ,Middle East,33000.0,Iraq vs. Kurds of 1961,1961,1963,658,,Internal,1963,0.3333333333333333,11000.0
785,Laos,812.0,LAO,Asia,15000.0,Laos vs. Pathet Lao of 1963,1963,1973,662,,Internal,1963,0.09086486486486486,1362.972972972973
786,Vietnam (South),817.0,RVN,Asia,164391.0,Republic of Vietnam vs. NLF,1960,1965,654,,Internal,1963,0.2615067079463364,42989.34922600619
787,United States of America,2.0,USA,Americas,339.0,Republic of Vietnam vs. NLF,1961,1965,654,,Internal,1963,0.2793101212474875,94.68613110289826
788,Rwanda,517.0,RWA,Africa,2500.0,Rwanda vs. Watusi,1963,1964,664,,Internal,1963,0.5,1250.0
789,Sudan,625.0,SDN,Africa,20000.0,Sudan vs. Anya Nya,1963,1972,663,,Internal,1963,0.05,1000.0
790,Yemen (North),678.0,YAR,Middle East,49000.0,Yemen Arab Republic vs. Royalists,1962,1969,660,,Internal,1963,0.15384,7538.16
791,Egypt,651.0,EGY,Africa,1000.0,Yemen Arab Republic vs. Royalists,1962,1967,660,,Internal,1963,0.18181818181818182,181.8181818181818
792,Belgium,211.0,BEL,Europe,50.0,Zaire vs. Katanga & Leftists,1960,1964,655,,Internal,1963,0.0,0.0
793,DR Congo (Zaire),490.0,COD,Africa,33911.0,Zaire vs. Katanga & Leftists,1960,1965,655,,Internal,1963,0.0,0.0
794,Portugal,235.0,PRT,Europe,4000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1964,0.06665822784810127,266.6329113924051
795,Angola,540.0,AGO,Africa,75000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1964,0.06665822784810127,4999.367088607595
796,Portugal,235.0,PRT,Europe,1000.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1964,0.07686932215234102,76.86932215234101
797,Guinea,438.0,GIN,Africa,6155.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1964,0.07686932215234102,473.13067784765894
798,Laos,812.0,LAO,Asia,15000.0,Laos vs. Pathet Lao of 1963,1963,1973,662,,Internal,1964,0.09086486486486486,1362.972972972973
799,United States of America,2.0,USA,Americas,500.0,Laos vs. Pathet Lao of 1963,1964,1973,662,,Internal,1964,0.09994648908971997,49.97324454485998
800,Portugal,235.0,PRT,Europe,3500.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1964,0.08331972789115646,291.61904761904765
801,Mozambique,541.0,MOZ,Africa,33250.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1964,0.08331972789115646,2770.3809523809523
802,Vietnam (South),817.0,RVN,Asia,164391.0,Republic of Vietnam vs. NLF,1960,1965,654,,Internal,1964,0.2781035634067869,45717.7228920051
803,United States of America,2.0,USA,Americas,339.0,Republic of Vietnam vs. NLF,1961,1965,654,,Internal,1964,0.2970368929520846,100.69550671075667
804,Rwanda,517.0,RWA,Africa,2500.0,Rwanda vs. Watusi,1963,1964,664,,Internal,1964,0.5,1250.0
805,Sudan,625.0,SDN,Africa,20000.0,Sudan vs. Anya Nya,1963,1972,663,,Internal,1964,0.15,3000.0
806,Yemen (North),678.0,YAR,Middle East,49000.0,Yemen Arab Republic vs. Royalists,1962,1969,660,,Internal,1964,0.15384,7538.16
807,Egypt,651.0,EGY,Africa,1000.0,Yemen Arab Republic vs. Royalists,1962,1967,660,,Internal,1964,0.18181818181818182,181.8181818181818
808,Belgium,211.0,BEL,Europe,50.0,Zaire vs. Katanga & Leftists,1960,1964,655,,Internal,1964,1.0,50.0
809,DR Congo (Zaire),490.0,COD,Africa,33911.0,Zaire vs. Katanga & Leftists,1960,1965,655,,Internal,1964,0.4999833138661772,16954.934156515938
810,Portugal,235.0,PRT,Europe,4000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1965,0.06665822784810127,266.6329113924051
811,Angola,540.0,AGO,Africa,75000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1965,0.06665822784810127,4999.367088607595
812,Dominican Republic,42.0,DOM,Americas,3250.0,Dominican Republic vs. Leftists,1965,1965,665,,Internal,1965,1.0,3250.0
813,United States of America,2.0,USA,Americas,26.0,Dominican Republic vs. Leftists,1965,1965,665,,Internal,1965,1.0,26.0
814,Portugal,235.0,PRT,Europe,1000.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1965,0.07686932215234102,76.86932215234101
815,Guinea,438.0,GIN,Africa,6155.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1965,0.07686932215234102,473.13067784765894
816,Laos,812.0,LAO,Asia,15000.0,Laos vs. Pathet Lao of 1963,1963,1973,662,,Internal,1965,0.09091891891891891,1363.7837837837837
817,United States of America,2.0,USA,Americas,500.0,Laos vs. Pathet Lao of 1963,1964,1973,662,,Internal,1965,0.10000594565669778,50.00297282834889
818,Vietnam (North),816.0,DRV,Asia,3000.0,Laos vs. Pathet Lao of 1963,1965,1973,662,,Internal,1965,0.11111111111111112,333.33333333333337
819,Portugal,235.0,PRT,Europe,3500.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1965,0.08331972789115646,291.61904761904765
820,Mozambique,541.0,MOZ,Africa,33250.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1965,0.08331972789115646,2770.3809523809523
821,Vietnam (South),817.0,RVN,Asia,164391.0,Republic of Vietnam vs. NLF,1960,1965,654,,Internal,1965,0.04152249134948097,6825.923875432525
822,United States of America,2.0,USA,Americas,339.0,Republic of Vietnam vs. NLF,1961,1965,654,,Internal,1965,0.04434934837580237,15.034429099397004
823,India,750.0,IND,Asia,3000.0,Second Kashmir,1965,1965,166,,Interstate,1965,1.0,3000.0
824,Pakistan,770.0,PAK,Asia,3000.0,Second Kashmir,1965,1965,166,,Interstate,1965,1.0,3000.0
825,Sudan,625.0,SDN,Africa,20000.0,Sudan vs. Anya Nya,1963,1972,663,,Internal,1965,0.15,3000.0
826,Australia,900.0,AUS,Asia,469.0,Vietnamese,1965,1972,163,,Interstate,1965,0.04682990706089493,21.963226411559724
827,United States of America,2.0,USA,Americas,45783.0,Vietnamese,1965,1973,163,,Interstate,1965,0.04339501203046025,1986.7538357905617
828,Vietnam (North),816.0,DRV,Asia,1131558.0,Vietnamese,1965,1975,163,,Interstate,1965,0.039027477016040146,44161.853837316354
829,South Korea,732.0,KOR,Asia,4407.0,Vietnamese,1965,1973,163,,Interstate,1965,0.04339501203046025,191.24181801823832
830,Vietnam (South),817.0,RVN,Asia,744407.0,Vietnamese,1965,1975,163,,Interstate,1965,0.039027477016040146,29052.327083079395
831,Yemen (North),678.0,YAR,Middle East,49000.0,Yemen Arab Republic vs. Royalists,1962,1969,660,,Internal,1965,0.07692,3769.08
832,Egypt,651.0,EGY,Africa,1000.0,Yemen Arab Republic vs. Royalists,1962,1967,660,,Internal,1965,0.09090909090909091,90.9090909090909
833,DR Congo (Zaire),490.0,COD,Africa,33911.0,Zaire vs. Katanga & Leftists,1960,1965,655,,Internal,1965,0.5000166861338228,16956.065843484062
834,Portugal,235.0,PRT,Europe,4000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1966,0.06667088607594937,266.6835443037975
835,Angola,540.0,AGO,Africa,75000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1966,0.06667088607594937,5000.316455696203
836,Chad,483.0,TCD,Africa,3465.0,Chad vs. Frolinat of 1966,1966,1971,669,,Internal,1966,0.16657142857142856,577.17
837,Guatemala,90.0,GTM,Americas,6650.0,Guatemala vs. Indians,1966,1972,668,,Internal,1966,0.06766917293233082,450.0
838,Portugal,235.0,PRT,Europe,1000.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1966,0.07686932215234102,76.86932215234101
839,Guinea,438.0,GIN,Africa,6155.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1966,0.07686932215234102,473.13067784765894
840,Laos,812.0,LAO,Asia,15000.0,Laos vs. Pathet Lao of 1963,1963,1973,662,,Internal,1966,0.09091891891891891,1363.7837837837837
841,United States of America,2.0,USA,Americas,500.0,Laos vs. Pathet Lao of 1963,1964,1973,662,,Internal,1966,0.10000594565669778,50.00297282834889
842,Vietnam (North),816.0,DRV,Asia,3000.0,Laos vs. Pathet Lao of 1963,1965,1973,662,,Internal,1966,0.11111111111111112,333.33333333333337
843,Portugal,235.0,PRT,Europe,3500.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1966,0.08331972789115646,291.61904761904765
844,Mozambique,541.0,MOZ,Africa,33250.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1966,0.08331972789115646,2770.3809523809523
845,Sudan,625.0,SDN,Africa,20000.0,Sudan vs. Anya Nya,1963,1972,663,,Internal,1966,0.15,3000.0
846,Uganda,500.0,UGA,Africa,2000.0,Uganda vs. Buganda Tribe,1966,1966,667,,Internal,1966,1.0,2000.0
847,Australia,900.0,AUS,Asia,469.0,Vietnamese,1965,1972,163,,Interstate,1966,0.07040978969361152,33.0221913663038
848,Philippines,840.0,PHL,Asia,1000.0,Vietnamese,1966,1973,163,,Interstate,1966,0.06820511150981981,68.20511150981982
849,United States of America,2.0,USA,Americas,45783.0,Vietnamese,1965,1973,163,,Interstate,1966,0.06524534987531229,2987.1278533414225
850,Vietnam (North),816.0,DRV,Asia,1131558.0,Vietnamese,1965,1975,163,,Interstate,1966,0.058678665439126546,66398.31330696716
851,South Korea,732.0,KOR,Asia,4407.0,Vietnamese,1965,1973,163,,Interstate,1966,0.06524534987531229,287.53625690050126
852,Vietnam (South),817.0,RVN,Asia,744407.0,Vietnamese,1965,1975,163,,Interstate,1966,0.058678665439126546,43680.80930354387
853,Yemen (North),678.0,YAR,Middle East,49000.0,Yemen Arab Republic vs. Royalists,1962,1969,660,,Internal,1966,0.15384,7538.16
854,Egypt,651.0,EGY,Africa,1000.0,Yemen Arab Republic vs. Royalists,1962,1967,660,,Internal,1966,0.18181818181818182,181.8181818181818
855,Portugal,235.0,PRT,Europe,4000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1967,0.06667088607594937,266.6835443037975
856,Angola,540.0,AGO,Africa,75000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1967,0.06667088607594937,5000.316455696203
857,Chad,483.0,TCD,Africa,3465.0,Chad vs. Frolinat of 1966,1966,1971,669,,Internal,1967,0.16657142857142856,577.17
858,China,710.0,CHN,Asia,50000.0,China vs. Red Guard,1967,1968,670,,Internal,1967,0.254,12700.0
859,Guatemala,90.0,GTM,Americas,6650.0,Guatemala vs. Indians,1966,1972,668,,Internal,1967,0.06766917293233082,450.0
860,Portugal,235.0,PRT,Europe,1000.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1967,0.07686932215234102,76.86932215234101
861,Guinea,438.0,GIN,Africa,6155.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1967,0.07686932215234102,473.13067784765894
862,Laos,812.0,LAO,Asia,15000.0,Laos vs. Pathet Lao of 1963,1963,1973,662,,Internal,1967,0.09091891891891891,1363.7837837837837
863,United States of America,2.0,USA,Americas,500.0,Laos vs. Pathet Lao of 1963,1964,1973,662,,Internal,1967,0.10000594565669778,50.00297282834889
864,Vietnam (North),816.0,DRV,Asia,3000.0,Laos vs. Pathet Lao of 1963,1965,1973,662,,Internal,1967,0.11111111111111112,333.33333333333337
865,Portugal,235.0,PRT,Europe,3500.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1967,0.08331972789115646,291.61904761904765
866,Mozambique,541.0,MOZ,Africa,33250.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1967,0.08331972789115646,2770.3809523809523
867,Nigeria,475.0,NGA,Africa,75000.0,Nigeria vs. Biafrans,1967,1970,672,,Internal,1967,0.19354666666666667,14516.0
868,Israel,666.0,ISR,Middle East,983.0,Six Day,1967,1967,169,,Interstate,1967,1.0,983.0
869,Egypt,651.0,EGY,Africa,3000.0,Six Day,1967,1967,169,,Interstate,1967,1.0,3000.0
870,Syria,652.0,SYR,Middle East,600.0,Six Day,1967,1967,169,,Interstate,1967,1.0,600.0
871,Jordan,663.0,JOR,Middle East,696.0,Six Day,1967,1967,169,,Interstate,1967,1.0,696.0
872,Sudan,625.0,SDN,Africa,20000.0,Sudan vs. Anya Nya,1963,1972,663,,Internal,1967,0.15,3000.0
873,Australia,900.0,AUS,Asia,469.0,Vietnamese,1965,1972,163,,Interstate,1967,0.09989288943962069,46.849765147182104
874,Philippines,840.0,PHL,Asia,1000.0,Vietnamese,1966,1973,163,,Interstate,1967,0.09676503356870007,96.76503356870008
875,United States of America,2.0,USA,Americas,45783.0,Vietnamese,1965,1973,163,,Interstate,1967,0.09256591377285844,4237.945230262778
876,Thailand,800.0,THA,Asia,351.0,Vietnamese,1967,1973,163,,Interstate,1967,0.10384799784155485,36.450647242385756
877,Vietnam (North),816.0,DRV,Asia,1131558.0,Vietnamese,1965,1975,163,,Interstate,1967,0.08324952346373786,94201.66427158029
878,South Korea,732.0,KOR,Asia,4407.0,Vietnamese,1965,1973,163,,Interstate,1967,0.09256591377285844,407.93798199698716
879,Vietnam (South),817.0,RVN,Asia,744407.0,Vietnamese,1965,1975,163,,Interstate,1967,0.08324952346373786,61971.52801307071
880,Yemen (North),678.0,YAR,Middle East,49000.0,Yemen Arab Republic vs. Royalists,1962,1969,660,,Internal,1967,0.15384,7538.16
881,Egypt,651.0,EGY,Africa,1000.0,Yemen Arab Republic vs. Royalists,1962,1967,660,,Internal,1967,0.18181818181818182,181.8181818181818
882,Portugal,235.0,PRT,Europe,4000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1968,0.06667088607594937,266.6835443037975
883,Angola,540.0,AGO,Africa,75000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1968,0.06667088607594937,5000.316455696203
884,Myanmar (Burma),775.0,MMR,Asia,24825.0,Burma vs. Ethnic Rebels,1968,1980,673,,Internal,1968,0.12588116817724068,3125.0
885,Chad,483.0,TCD,Africa,3465.0,Chad vs. Frolinat of 1966,1966,1971,669,,Internal,1968,0.16657142857142856,577.17
886,China,710.0,CHN,Asia,50000.0,China vs. Red Guard,1967,1968,670,,Internal,1968,0.746,37300.0
887,Guatemala,90.0,GTM,Americas,6650.0,Guatemala vs. Indians,1966,1972,668,,Internal,1968,0.14285714285714285,950.0
888,Portugal,235.0,PRT,Europe,1000.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1968,0.07686932215234102,76.86932215234101
889,Guinea,438.0,GIN,Africa,6155.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1968,0.07686932215234102,473.13067784765894
890,Laos,812.0,LAO,Asia,15000.0,Laos vs. Pathet Lao of 1963,1963,1973,662,,Internal,1968,0.09091891891891891,1363.7837837837837
891,United States of America,2.0,USA,Americas,500.0,Laos vs. Pathet Lao of 1963,1964,1973,662,,Internal,1968,0.10000594565669778,50.00297282834889
892,Vietnam (North),816.0,DRV,Asia,3000.0,Laos vs. Pathet Lao of 1963,1965,1973,662,,Internal,1968,0.11111111111111112,333.33333333333337
893,Portugal,235.0,PRT,Europe,3500.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1968,0.08331972789115646,291.61904761904765
894,Mozambique,541.0,MOZ,Africa,33250.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1968,0.08331972789115646,2770.3809523809523
895,Nigeria,475.0,NGA,Africa,75000.0,Nigeria vs. Biafrans,1967,1970,672,,Internal,1968,0.38709333333333334,29032.0
896,Sudan,625.0,SDN,Africa,20000.0,Sudan vs. Anya Nya,1963,1972,663,,Internal,1968,0.15,3000.0
897,Australia,900.0,AUS,Asia,469.0,Vietnamese,1965,1972,163,,Interstate,1968,0.20054880936747507,94.05739159334581
898,Philippines,840.0,PHL,Asia,1000.0,Vietnamese,1966,1973,163,,Interstate,1968,0.19426920554076474,194.26920554076474
899,United States of America,2.0,USA,Americas,45783.0,Vietnamese,1965,1973,163,,Interstate,1968,0.1858388910291753,8508.261947988733
900,Thailand,800.0,THA,Asia,351.0,Vietnamese,1967,1973,163,,Interstate,1968,0.20848923721350943,73.1797222619418
901,Vietnam (North),816.0,DRV,Asia,1131558.0,Vietnamese,1965,1975,163,,Interstate,1968,0.16713494728925427,189122.88668473397
902,South Korea,732.0,KOR,Asia,4407.0,Vietnamese,1965,1973,163,,Interstate,1968,0.1858388910291753,818.9919927655756
903,Vietnam (South),817.0,RVN,Asia,744407.0,Vietnamese,1965,1975,163,,Interstate,1968,0.16713494728925427,124416.4247067519
904,Yemen (North),678.0,YAR,Middle East,49000.0,Yemen Arab Republic vs. Royalists,1962,1969,660,,Internal,1968,0.07694,3770.06
905,Portugal,235.0,PRT,Europe,4000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1969,0.06667088607594937,266.6835443037975
906,Angola,540.0,AGO,Africa,75000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1969,0.06667088607594937,5000.316455696203
907,Myanmar (Burma),775.0,MMR,Asia,24825.0,Burma vs. Ethnic Rebels,1968,1980,673,,Internal,1969,0.12588116817724068,3125.0
908,France,220.0,FRA,Europe,35.0,Chad vs. Frolinat of 1966,1969,1971,669,,Internal,1969,0.33295259851513415,11.653340948029696
909,Chad,483.0,TCD,Africa,3465.0,Chad vs. Frolinat of 1966,1966,1971,669,,Internal,1969,0.16657142857142856,577.17
910,Honduras,91.0,HND,Americas,107.0,Football,1969,1969,175,,Interstate,1969,1.0,107.0
911,El Salvador,92.0,SLV,Americas,2000.0,Football,1969,1969,175,,Interstate,1969,1.0,2000.0
912,Guatemala,90.0,GTM,Americas,6650.0,Guatemala vs. Indians,1966,1972,668,,Internal,1969,0.24060150375939848,1600.0
913,Portugal,235.0,PRT,Europe,1000.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1969,0.07686932215234102,76.86932215234101
914,Guinea,438.0,GIN,Africa,6155.0,Guinean-Portugese,1962,1974,436,,Extrasystemic,1969,0.07686932215234102,473.13067784765894
915,Egypt,651.0,EGY,Africa,5000.0,Israeli-Egyptian,1969,1970,172,,Interstate,1969,0.5,2500.0
916,Israel,666.0,ISR,Middle East,260.0,Israeli-Egyptian,1969,1970,172,,Interstate,1969,0.5,130.0
917,Laos,812.0,LAO,Asia,15000.0,Laos vs. Pathet Lao of 1963,1963,1973,662,,Internal,1969,0.09091891891891891,1363.7837837837837
918,United States of America,2.0,USA,Americas,500.0,Laos vs. Pathet Lao of 1963,1964,1973,662,,Internal,1969,0.10000594565669778,50.00297282834889
919,Vietnam (North),816.0,DRV,Asia,3000.0,Laos vs. Pathet Lao of 1963,1965,1973,662,,Internal,1969,0.11111111111111112,333.33333333333337
920,Portugal,235.0,PRT,Europe,3500.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1969,0.08331972789115646,291.61904761904765
921,Mozambique,541.0,MOZ,Africa,33250.0,Mozambique-Portugese,1964,1975,437,,Extrasystemic,1969,0.08331972789115646,2770.3809523809523
922,Nigeria,475.0,NGA,Africa,75000.0,Nigeria vs. Biafrans,1967,1970,672,,Internal,1969,0.38709333333333334,29032.0
923,Sudan,625.0,SDN,Africa,20000.0,Sudan vs. Anya Nya,1963,1972,663,,Internal,1969,0.05,1000.0
924,Australia,900.0,AUS,Asia,469.0,Vietnamese,1965,1972,163,,Interstate,1969,0.16329039160392617,76.58319366224137
925,Philippines,840.0,PHL,Asia,1000.0,Vietnamese,1966,1973,163,,Interstate,1969,0.15817742697843115,158.17742697843116
926,United States of America,2.0,USA,Americas,45783.0,Vietnamese,1965,1973,163,,Interstate,1969,0.15131331563175487,6927.5775295686335
927,Thailand,800.0,THA,Asia,351.0,Vietnamese,1967,1973,163,,Interstate,1969,0.16975562855333062,59.58422562221905
928,Vietnam (North),816.0,DRV,Asia,1131558.0,Vietnamese,1965,1975,163,,Interstate,1969,0.13608423345738405,153987.2030425706
929,South Korea,732.0,KOR,Asia,4407.0,Vietnamese,1965,1973,163,,Interstate,1969,0.15131331563175487,666.8377819891438
930,Vietnam (South),817.0,RVN,Asia,744407.0,Vietnamese,1965,1975,163,,Interstate,1969,0.13608423345738405,101302.05597531088
931,Yemen (North),678.0,YAR,Middle East,49000.0,Yemen Arab Republic vs. Royalists,1962,1969,660,,Internal,1969,0.07694,3770.06
932,Portugal,235.0,PRT,Europe,4000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1970,0.06667088607594937,266.6835443037975
933,Angola,540.0,AGO,Africa,75000.0,Angolan-Portugese,1961,1975,434,,Extrasystemic,1970,0.06667088607594937,5000.316455696203
934,Myanmar (Burma),775.0,MMR,Asia,24825.0,Burma vs. Ethnic Rebels,1968,1980,673,,Internal,1970,0.12588116817724068,3125.0
935,Cambodia,811.0,KHM,Asia,244000.0,Cambodia vs. Khmer Rouge of 1970,1970,1975,675,,Internal,1970,0.1516,36990.4
936,United States of America,2.0,USA,Americas,500.0,Cambodia vs. Khmer Rouge of 1970,1970,1973,675,,Internal,1970,0.25,125.0
937,Vietnam (North),816.0,DRV,Asia,500.0,Cambodia vs. Khmer Rouge of 1970,1970,1975,675,,Internal,1970,0.1516,75.80000000000001
